Code,Occupation,National Shortage Rating,New South Wales Shortage Rating,Victoria Shortage Rating,Queensland Shortage Rating,South Australia Shortage Rating,Western Australia Shortage Rating,Tasmania Shortage Rating,Northern Territory Shortage Rating,Australian Capital Territory Shortage Rating,Skill Level
233914,Engineering Technologist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No shortage,Shortage,1
233915,Environmental Engineer,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
233916,Naval Architect / Marine Designer,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
233999,Engineering Professionals nec,No shortage,No shortage,No shortage,Shortage,Shortage,No shortage,No shortage,No shortage,No shortage,1
234111,Agricultural Consultant,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
234113,Forester / Forest Scientist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
234114,Agricultural Research Scientist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
234115,Agronomist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
234116,Aquaculture or Fisheries Scientist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
234211,Chemist,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
234212,Food Technologist,No shortage,Shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
234213,Wine Maker,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
234311,Conservation Officer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
234312,Environmental Consultant,No shortage,No shortage,No shortage,No shortage,Shortage,No shortage,No shortage,Shortage,No shortage,1
234313,Environmental Research Scientist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
234314,Park Ranger,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
234399,Environmental Scientists nec,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
234411,Geologist,Shortage,No shortage,No shortage,No shortage,No shortage,Shortage,No shortage,Shortage,No shortage,1
234412,Geophysicist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
234413,Hydrogeologist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
234511,Life Scientist (General),No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
234513,Biochemist,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
234514,Biotechnologist,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
234515,Botanist,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
234516,Marine Biologist,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
234517,Microbiologist,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
234521,Entomologist,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
234522,Zoologist,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
234599,Life Scientists nec,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
234611,Medical Laboratory Scientist,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
234612,Respiratory Scientist,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
234711,Veterinarian,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
234911,Conservator,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
234912,Metallurgist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No shortage,1
234913,Meteorologist,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
234914,Physicist,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
234915,Exercise Physiologist,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
234999,Natural and Physical Science Professionals nec,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
241111,Early Childhood (Pre-primary School) Teacher,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
241213,Primary School Teacher,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
241311,Middle School Teacher / Intermediate School Teacher,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
241411,Secondary School Teacher,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
241511,Special Needs Teacher,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
241512,Teacher of the Hearing Impaired,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No shortage,Shortage,1
241513,Teacher of the Sight Impaired,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No shortage,Shortage,1
241599,Special Education Teachers nec,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
242111,University Lecturer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
242112,University Tutor,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
242211,Vocational Education Teacher / Polytechnic Teacher,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
249111,Education Adviser,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
249112,Education Reviewer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
249211,Art Teacher (Private Tuition),No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
249212,Dance Teacher (Private Tuition),No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
249213,Drama Teacher (Private Tuition),No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
249214,Music Teacher (Private Tuition),No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
249299,Private Tutors and Teachers nec,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
249311,Teacher of English to Speakers of Other Languages,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
251111,Dietitian,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
251112,Nutritionist,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
251211,Medical Diagnostic Radiographer,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
251212,Medical Radiation Therapist,Regional shortage,Regional shortage,Regional shortage,Regional shortage,Regional shortage,Regional shortage,Regional shortage,Regional shortage,Shortage,1
251213,Nuclear Medicine Technologist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No shortage,Shortage,1
251214,Sonographer,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
251311,Environmental Health Officer,Regional shortage,Regional shortage,Regional shortage,Regional shortage,Regional shortage,Regional shortage,Regional shortage,Regional shortage,Shortage,1
251312,Occupational Health and Safety Adviser,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
251411,Optometrist,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
251412,Orthoptist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No shortage,Shortage,1
251511,Hospital Pharmacist,Regional shortage,Regional shortage,Regional shortage,Regional shortage,Regional shortage,Regional shortage,Regional shortage,Regional shortage,Shortage,1
251512,Industrial Pharmacist,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
251513,Retail Pharmacist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
251911,Health Promotion Officer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
251912,Orthotist or Prosthetist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
251999,Health Diagnostic and Promotion Professionals nec,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
252111,Chiropractor,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
252112,Osteopath,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
252211,Acupuncturist,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
252212,Homoeopath,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
252213,Naturopath,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
252214,Traditional Chinese Medicine Practitioner,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
252299,Complementary Health Therapists nec,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
252311,Dental Specialist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
252312,Dentist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
252411,Occupational Therapist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
252511,Physiotherapist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
252611,Podiatrist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
252711,Audiologist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
252712,Speech Pathologist / Speech Language Therapist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
253111,General Practitioner,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
253112,Resident Medical Officer,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
253211,Anaesthetist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
253311,Specialist Physician (General Medicine),Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
253312,Cardiologist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
253313,Clinical Haematologist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No shortage,No shortage,Shortage,1
253314,Medical Oncologist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
253315,Endocrinologist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No shortage,Shortage,1
253316,Gastroenterologist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No shortage,Shortage,1
253317,Intensive Care Specialist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
253318,Neurologist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No shortage,Shortage,1
253321,Paediatrician,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
253322,Renal Medicine Specialist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
253323,Rheumatologist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No shortage,Shortage,1
253324,Thoracic Medicine Specialist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
253399,Specialist Physicians nec,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
253411,Psychiatrist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
253511,Surgeon (General),Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
253512,Cardiothoracic Surgeon,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No shortage,Shortage,1
253513,Neurosurgeon,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
253514,Orthopaedic Surgeon,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
253515,Otorhinolaryngologist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No shortage,No shortage,1
253516,Paediatric Surgeon,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No shortage,No shortage,1
253517,Plastic and Reconstructive Surgeon,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
253518,Urologist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No shortage,Shortage,1
253521,Vascular Surgeon,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No shortage,1
253911,Dermatologist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
253912,Emergency Medicine Specialist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
253913,Obstetrician and Gynaecologist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
253914,Ophthalmologist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
253915,Pathologist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
253917,Diagnostic and Interventional Radiologist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
253918,Radiation Oncologist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
253999,Medical Practitioners nec,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
254111,Midwife,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
254211,Nurse Educator,No shortage,No shortage,Shortage,No shortage,Regional shortage,No shortage,No shortage,Shortage,Shortage,1
254212,Nurse Researcher,No shortage,No shortage,No shortage,Shortage,Shortage,No shortage,No shortage,Shortage,Shortage,1
254311,Nurse Manager,No shortage,No shortage,No shortage,No shortage,Regional shortage,No shortage,No shortage,No shortage,No shortage,1
254411,Nurse Practitioner,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
254412,Registered Nurse (Aged Care),Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
254413,Registered Nurse (Child and Family Health),Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
254414,Registered Nurse (Community Health),Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
254415,Registered Nurse (Critical Care and Emergency),Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
254416,Registered Nurse (Developmental Disability),Shortage,Shortage,Shortage,Shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
254417,Registered Nurse (Disability and Rehabilitation),Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
254418,Registered Nurse (Medical),Regional shortage,Regional shortage,Regional shortage,Regional shortage,Regional shortage,Regional shortage,Regional shortage,Regional shortage,Shortage,1
254421,Registered Nurse (Medical Practice),Regional shortage,Regional shortage,Regional shortage,Regional shortage,Regional shortage,Regional shortage,Regional shortage,Regional shortage,Shortage,1
254422,Registered Nurse (Mental Health),Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
254423,Registered Nurse (Perioperative),Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
254424,Registered Nurse (Surgical),Regional shortage,Regional shortage,Regional shortage,Regional shortage,Regional shortage,Regional shortage,Regional shortage,Regional shortage,Shortage,1
254425,Registered Nurse (Paediatrics),Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
254499,Registered Nurses nec,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,Shortage,No shortage,1
261111,ICT Business Analyst,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,Shortage,No shortage,1
261112,Systems Analyst,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
261113,User Experience Designer (ICT),No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
261211,Multimedia Specialist,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,Shortage,Shortage,1
261212,Web Developer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
261311,Analyst Programmer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
261312,Developer Programmer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
261313,Software Engineer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
261314,Software Tester,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
261315,Cyber Security Engineer,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
261316,Devops Engineer,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No shortage,Shortage,1
261317,Penetration Tester,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
261399,Software and Applications Programmers nec,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
262111,Database Administrator,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
262113,Systems Administrator,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,Shortage,No shortage,1
262114,Cyber Governance Risk and Compliance Specialist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No shortage,Shortage,1
262115,Cyber Security Advice and Assessment Specialist,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,Shortage,Shortage,1
262116,Cyber Security Analyst,No shortage,No shortage,No shortage,Shortage,Shortage,No shortage,No shortage,No shortage,Shortage,1
262117,Cyber Security Architect,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No shortage,No shortage,Shortage,1
262118,Cyber Security Operations Coordinator,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
263111,Computer Network and Systems Engineer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,Shortage,No shortage,1
263112,Network Administrator,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
263113,Network Analyst,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
263211,ICT Quality Assurance Engineer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
263212,ICT Support Engineer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
263213,ICT Systems Test Engineer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
263299,ICT Support and Test Engineers nec,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
263311,Telecommunications Engineer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
263312,Telecommunications Network Engineer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
271111,Barrister,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
271214,Intellectual Property Lawyer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
271299,Judicial and Other Legal Professionals nec,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
271311,Solicitor,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
272111,Careers Counsellor,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
272112,Drug and Alcohol Counsellor,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
272113,Family and Marriage Counsellor,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
272114,Rehabilitation Counsellor,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
272115,Student Counsellor,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
272199,Counsellors nec,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
272211,Minister of Religion,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
272311,Clinical Psychologist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
272312,Educational Psychologist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
272313,Organisational Psychologist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No shortage,Shortage,1
272314,Psychotherapist,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
272399,Psychologists nec,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
272411,Historian,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
272412,Interpreter,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
272413,Translator,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
272414,Archaeologist,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
272499,Social Professionals nec,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
272511,Social Worker,No shortage,No shortage,Regional shortage,No shortage,Shortage,No shortage,No shortage,Shortage,Shortage,1
272611,Community Arts Worker,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
272612,Recreation Officer / Recreation Coordinator,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
272613,Welfare Worker,No shortage,No shortage,Regional shortage,No shortage,No shortage,No shortage,No shortage,Shortage,No shortage,1
311112,Agricultural and Agritech Technician,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,2
311113,Animal Husbandry Technician,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
311114,Aquaculture or Fisheries Technician,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
311115,Irrigation Designer,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No shortage,No shortage,2
311211,Anaesthetic Technician,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
311212,Cardiac Technician,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
311213,Medical Laboratory Technician,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
311214,Operating Theatre Technician,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,3
311215,Pharmacy Technician,Regional shortage,Regional shortage,Regional shortage,Regional shortage,Regional shortage,Regional shortage,Regional shortage,Shortage,Shortage,2
311216,Pathology Collector / Phlebotomist,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,3
311217,Respiratory Technician,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
311299,Medical Technicians nec,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
311311,Fisheries Officer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
311312,Meat Inspector,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No shortage,No shortage,2
311313,Biosecurity Officer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
311314,Primary Products Quality Assurance Officer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
311399,Primary Products Assurance and Inspection Officers nec,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
311411,Chemistry Technician,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
311412,Earth Science Technician,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
311413,Life Science Technician,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
311414,School Laboratory Technician,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
311415,Hydrographer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
311499,Science Technicians nec,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
312111,Architectural Draftsperson,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,Shortage,No shortage,2
312112,Building Associate,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,Shortage,No shortage,2
312113,Building Inspector,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,2
312114,Construction Estimator,Regional shortage,Shortage,Regional shortage,Regional shortage,Regional shortage,Shortage,Regional shortage,No shortage,No shortage,2
312115,Plumbing Inspector,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
312116,Surveying or Spatial Science Technician,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,2
312199,"Architectural, Building and Surveying Technicians nec",No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
312211,Civil Engineering Draftsperson,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,2
312212,Civil Engineering Technician,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,2
312311,Electrical Engineering Draftsperson,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
